LOG01
A: FAIL | degen:no | answers trivial type-hints Q, misses off-by-one
B: FAIL | degen:no | answers trivial Q, only mentions empty-list edge case
C: PASS | degen:no | catches missing-last-window off-by-one explicitly
D: FAIL | degen:no | answers trivial Q, misses off-by-one
E: FAIL | degen:no | answers trivial Q, no bug mentioned
F: PASS | degen:no | catches off-by-one range(len(xs)-k) bug explicitly
G: PASS | degen:no | catches off-by-one and provides corrected range
H: FAIL | degen:no | answers trivial Q, misses off-by-one
LOG02
A: PASS | degen:no | catches shared mutable default acc=[] bug
B: PASS | degen:no | catches shared mutable default bug with example
C: PASS | degen:no | catches shared mutable default bug explicitly
D: PASS | degen:no | catches shared mutable default bug explicitly
E: PASS | degen:no | catches shared mutable default bug explicitly
F: PASS | degen:no | catches shared mutable default bug explicitly
G: PASS | degen:no | catches shared mutable default bug with example
H: FAIL | degen:no | answers trivial naming Q, misses mutable default bug
LOG03
A: FAIL | degen:no | answers trivial comment Q, misses attempts-vs-retries
B: FAIL | degen:no | mentions exception scope but misses attempts-vs-retries
C: FAIL | degen:no | mentions exception scope/backoff, misses attempts-vs-retries
D: FAIL | degen:no | answers trivial comment Q, misses attempts-vs-retries
E: FAIL | degen:no | answers trivial comment Q, misses attempts-vs-retries
F: FAIL | degen:no | mentions backoff, misses attempts-vs-retries off-by-one
G: FAIL | degen:no | answers trivial Q, mentions backoff not attempts-vs-retries
H: FAIL | degen:no | answers trivial comment Q, misses attempts-vs-retries
