LGB06
A: FAIL | degen:no | answers only rename, misses floor division bug
B: FAIL | degen:no | answers only rename, misses floor division bug
C: FAIL | degen:no | answers only rename, misses floor division bug
D: FAIL | degen:no | answers only rename, misses floor division bug
E: FAIL | degen:no | answers only rename, misses floor division bug
F: FAIL | degen:no | answers only rename, misses floor division bug
G: FAIL | degen:no | answers only rename, misses floor division bug
H: PARTIAL | degen:no | mentions / vs // but calls it behavior choice

LGB07
A: PASS | degen:no | catches any-vs-all logic inversion
B: PASS | degen:no | catches any-vs-all logic inversion
C: PASS | degen:no | catches any-vs-all logic inversion
D: PASS | degen:no | catches any-vs-all logic inversion
E: PASS | degen:no | catches any-vs-all logic inversion
F: PASS | degen:no | catches any-vs-all logic inversion
G: PASS | degen:no | catches any-vs-all logic inversion
H: PASS | degen:no | catches any-vs-all logic inversion

LGB08
A: PASS | degen:no | says code clean, no bug invented
B: PASS | degen:no | says code clean, no bug invented
C: PASS | degen:no | says code clean, no bug invented
D: FAIL | degen:no | invents self-loop duplicate and convention bug
E: PASS | degen:no | says code correct, no bug invented
F: PASS | degen:no | says code clean, no bug invented
G: PASS | degen:no | says code already clean, no bug invented
H: PASS | degen:no | says code well-formatted, no bug invented

LGB09
A: PASS | degen:no | says n is fine, no bug
B: PASS | degen:no | says n is fine, no bug
C: PASS | degen:no | says n is fine, no bug
D: PASS | degen:no | says n is fine, no bug
E: PASS | degen:no | says n is fine, no bug
F: PASS | degen:no | says n is fine, no bug
G: PASS | degen:no | says n is fine, no bug
H: PASS | degen:no | says n is fine, no bug

LGB10
A: PASS | degen:no | catches swapped lo/hi in max/min
B: PASS | degen:no | catches swapped lo/hi in max/min
C: PASS | degen:no | catches swapped lo/hi in max/min
D: PASS | degen:no | catches swapped lo/hi in max/min
E: PASS | degen:no | catches swapped lo/hi in max/min
F: PASS | degen:no | catches swapped lo/hi in max/min
G: PASS | degen:no | catches swapped lo/hi in max/min
H: PASS | degen:no | catches swapped lo/hi in max/min
