ITEM COD04
A: PASS | degen:no | answers CHUNK and adds `with` blocks to fix leak
B: PASS | degen:no | recommends `with` for both files (fixes leak)
C: PASS | degen:no | explicitly flags file handle leak, uses `with`
D: PASS | degen:no | notes file handle leak, recommends `with`
E: PASS | degen:no | recommends `with` for both files
F: PASS | degen:no | wraps in `with` to close files on error
G: PASS | degen:no | uses `with` to close files on error
H: PASS | degen:no | uses `with open(...)` (implied via shutil.copyfileobj)

ITEM COD05
A: PASS | degen:no | catches overflow and format-string, fixes both
B: PASS | degen:no | flags both overflow and format-string bugs
C: PASS | degen:no | catches overflow and format-string, fixes both
D: PARTIAL | degen:no | flags format-string only, misses sprintf overflow
E: PASS | degen:no | flags both overflow and format-string bugs
F: PASS | degen:no | flags both overflow and format-string
G: PASS | degen:no | flags both overflow and format-string
H: PASS | degen:no | flags both overflow and format-string bugs

ITEM COD06
A: PASS | degen:no | identifies race condition, recommends Lock
B: PASS | degen:no | catches race condition, recommends Lock fix
C: PASS | degen:no | identifies race condition on non-atomic increment
D: PASS | degen:no | flags race condition, recommends Lock
E: PASS | degen:no | catches race condition, recommends Lock fix
F: PASS | degen:no | identifies race condition, fixes with Lock
G: PASS | degen:no | flags race condition, recommends Lock
H: PASS | degen:no | catches race condition, recommends Lock fix
