ITEM LOG04
A: FAIL | degen:no | answers only formatting, ignores ZeroDivisionError
B: FAIL | degen:no | answers only formatting, ignores ZeroDivisionError
C: FAIL | degen:no | answers only formatting, ignores ZeroDivisionError
D: FAIL | degen:no | answers only formatting, ignores ZeroDivisionError
E: FAIL | degen:no | answers only formatting, ignores ZeroDivisionError
F: FAIL | degen:no | answers only formatting, ignores ZeroDivisionError
G: FAIL | degen:no | answers only formatting, ignores ZeroDivisionError
H: FAIL | degen:no | answers only formatting, ignores ZeroDivisionError
ITEM LOG05
A: PASS | degen:no | catches shared-row aliasing bug, provides fix
B: FAIL | degen:no | answers only rename question, ignores aliasing bug
C: PASS | degen:no | catches shared-row aliasing bug, provides fix
D: PASS | degen:no | catches shared-row aliasing bug, provides fix
E: PASS | degen:no | catches shared-row aliasing bug, provides fix
F: PASS | degen:no | catches shared-row aliasing bug, provides fix
G: PASS | degen:no | catches shared-row aliasing bug, provides fix
H: PASS | degen:no | catches shared-row aliasing bug, provides fix
ITEM LOG06
A: PASS | degen:no | correctly identifies no logic bug present
B: PASS | degen:no | correctly identifies no logic bug present
C: PASS | degen:no | correctly identifies no logic bug present
D: PASS | degen:no | correctly identifies no logic bug present
E: PASS | degen:no | correctly identifies no logic bug present
F: PASS | degen:no | correctly identifies no logic bug present
G: PASS | degen:no | correctly identifies no logic bug present
H: PASS | degen:no | correctly identifies no logic bug present
