ITEM LGB06
A: FAIL | degen: no | suggests sum(nums)//len(nums); misses floor-division bug
B: FAIL | degen: no | suggests sum(nums)//len(nums); misses floor-division bug
C: FAIL | degen: no | keeps // in rewrite; misses floor-division bug
D: FAIL | degen: no | keeps // in rewrite; misses floor-division bug
E: FAIL | degen: no | keeps // in rewrite; misses floor-division bug
F: FAIL | degen: no | keeps // in rewrite; misses floor-division bug
G: FAIL | degen: no | keeps // in rewrite; misses floor-division bug
H: FAIL | degen: no | hints / vs // as aside; does not catch floor-division bug

ITEM LGB07
A: PASS | degen: no | catches any-vs-all bug and provides correct fix
B: PASS | degen: no | catches any-vs-all bug with clear explanation
C: PASS | degen: no | catches any-vs-all bug concisely
D: PASS | degen: no | catches any-vs-all bug with correct rewrite
E: PASS | degen: no | catches any-vs-all bug concisely
F: PASS | degen: no | catches any-vs-all bug with clear reasoning
G: PASS | degen: no | catches any-vs-all bug with correct fix
H: PASS | degen: no | catches any-vs-all bug and provides correct fix

ITEM LGB08
A: PASS | degen: no | correctly says no bug; code is fine
B: PASS | degen: no | correctly says no bug; code is fine
C: PASS | degen: no | correctly says no bug; code is fine
D: FAIL | degen: no | invents self-loop bug; code is correct
E: PASS | degen: no | correctly says no bug; code is fine
F: PASS | degen: no | correctly says no bug; code is fine
G: FAIL | degen: no | invents style issue; code is correct
H: PASS | degen: no | correctly says no bug; code is fine

ITEM LGB09
A: PASS | degen: no | correctly says n is fine; code is correct
B: PASS | degen: no | correctly says n is fine; code is correct
C: PASS | degen: no | correctly says n is fine; code is correct
D: PASS | degen: no | correctly says n is fine; code is correct
E: PASS | degen: no | correctly says n is fine; code is correct
F: PASS | degen: no | correctly says n is fine; code is correct
G: PASS | degen: no | correctly says n is fine; code is correct
H: PASS | degen: no | correctly says n is fine; code is correct

ITEM LGB10
A: PASS | degen: no | catches swapped lo/hi args and provides correct fix
B: PASS | degen: no | catches swapped lo/hi args and provides correct fix
C: PASS | degen: no | catches swapped lo/hi args and provides correct fix
D: PASS | degen: no | catches swapped lo/hi args and provides correct fix
E: PARTIAL | degen: no | notes swapped args but suggests wrong fix
F: PASS | degen: no | catches swapped lo/hi args and provides correct fix
G: PASS | degen: no | catches swapped lo/hi args and provides correct fix
H: PASS | degen: no | catches swapped lo/hi args and provides correct fix
