ITEM CEIL05
A: PASS | degen:no | catches off-by-one, fib(1)=0 wrong
B: FAIL | degen:no | answers only trivial Q, misses bug
C: PASS | degen:no | catches off-by-one, fib(1)=0 wrong
D: FAIL | degen:no | answers only trivial Q, misses bug
E: PASS | degen:no | catches off-by-one, fib(1)=0 fib(3)=1
F: PASS | degen:no | catches off-by-one, returns F(n-1) not F(n)
G: PASS | degen:no | catches off-by-one, fib(1)=0 fib(10)=34
H: PASS | degen:no | catches off-by-one, fib(1)=0 fix range(n)

ITEM CEIL06
A: PASS | degen:no | says logic clean and correct
B: PASS | degen:no | says code works correctly, dict order
C: PASS | degen:no | says logic correct, no bug
D: PASS | degen:no | says no bugs, logic correct
E: PASS | degen:no | says code correct, no bug
F: PASS | degen:no | says works correctly, no bug
G: PASS | degen:no | says clean idiomatic, no bug
H: PASS | degen:no | says code already clean, no bug

ITEM CEIL07
A: PASS | degen:no | says no bugs, works correctly
B: PASS | degen:no | says logic is correct
C: PASS | degen:no | implies no bug, naming only
D: PASS | degen:no | no bug flagged, just rename
E: PASS | degen:no | says logic is correct
F: PASS | degen:no | no bug flagged, naming only
G: PASS | degen:no | says function correct, no changes
H: PASS | degen:no | no bug flagged, just rename

ITEM CEIL08
A: PASS | degen:no | says canonical correct branchless
B: PASS | degen:no | says correct logic, no bug
C: PASS | degen:no | says standard correct for normal inputs
D: PASS | degen:no | says idiom standard, no bug
E: PASS | degen:no | says idiomatic, no bug
F: PASS | degen:no | says implementation correct, no bug
G: PASS | degen:no | says classic idiom, no bug
H: PASS | degen:no | says already idiomatic, no bug
