ITEM BUR04
A: PASS | degen: no | flags per-item 8GB reload as bottleneck, num_workers irrelevant
B: PASS | degen: no | flags O(n) per-sample I/O, num_workers/pin_memory irrelevant
C: PASS | degen: no | flags per-call 8GB CSV load, calls it the bottleneck explicitly
D: PASS | degen: no | flags full-file read per sample as disaster, irrelevant tuning
E: PASS | degen: no | flags 8GB per-sample read, I/O pattern must fix first
F: PASS | degen: no | flags per-item CSV load as bottleneck, tuning irrelevant

ITEM BUR05
A: PASS | degen: no | flags per-request mutex as doing nothing, zero contention protection
B: PASS | degen: no | flags per-request mutex as zero thread-safety, nothing protected
C: PASS | degen: no | flags per-request mutex as zero synchronization, pure overhead
D: PASS | degen: no | flags per-request mutex as zero synchronization, remove it
E: PASS | degen: no | flags per-request mutex as doing nothing, GC pressure waste
F: PASS | degen: no | flags per-request mutex as zero synchronization, private per goroutine

ITEM BUR06
A: PASS | degen: no | flags pre-sort as counterproductive, grep doesn't use sort order
B: PASS | degen: no | flags sort as actively harmful, grep does not benefit from sorted input
C: PASS | degen: no | flags sort as wasteful, grep scans linearly at disk bandwidth
D: PASS | degen: no | flags sort as completely wasted work, grep O(n) vs sort O(n log n)
E: PASS | degen: no | flags sort as pure overhead, grep is O(n) streaming
F: PASS | degen: no | flags sort as bottleneck, removes it entirely, grep already optimal
